Date,Open,High,Low,Close,Volume
2015-01-05,3566.09,3669.04,3551.51,3641.54,45119811200
2015-01-06,3608.43,3683.23,3587.23,3641.06,42096217600
2015-01-07,3620.92,3671.19,3601.7,3643.79,32019123200
2015-01-08,3650.07,3659.94,3552.1,3559.26,29500304000
2015-01-09,3547.57,3689.75,3536.4,3546.72,34998265600
2015-01-12,3531.52,3560.53,3461.32,3513.58,26656716800
2015-01-13,3506.45,3550.16,3494.77,3514.04,18715396800
2015-01-14,3522.91,3547.24,3471.56,3502.42,19601251200
2015-01-15,3501.72,3604.12,3482.27,3604.12,23781233600
2015-01-16,3616.25,3662.16,3601.26,3635.15,28268160000
2015-01-19,3414.01,3497.25,3330.98,3355.16,32950528000
2015-01-20,3336.79,3419.2,3325.68,3396.22,29784323200
2015-01-21,3420.49,3557.79,3409.43,3548.88,33792822400
2015-01-22,3551.05,3576.76,3520.05,3567.61,26885360000
2015-01-23,3582.09,3627.81,3548.63,3571.73,28017216000
2015-01-26,3580.12,3611.62,3559.38,3607.98,23976620800
2015-01-27,3614.04,3616.26,3510.02,3574.93,28766918400
2015-01-28,3547.24,3583.31,3512.39,3525.32,21622020800
2015-01-29,3474.92,3505.58,3453.9,3481.8,21161886400
2015-01-30,3496.88,3514.22,3431.94,3434.39,19647915200
2015-02-02,3360.19,3407.26,3347.08,3353.96,19518369600
2015-02-03,3388.6,3441.71,3360.72,3437.44,19284609600
2015-02-04,3446.14,3476.82,3399.56,3401.77,19130435200
2015-02-05,3487.95,3487.95,3366.86,3366.95,25043060800
2015-02-06,3352.33,3374.05,3285.94,3312.42,19266419200
2015-02-09,3305.73,3376.53,3298.6,3345.92,17235382400
2015-02-10,3345.08,3407.18,3339.55,3406.94,15930908800
2015-02-11,3415.98,3445.66,3412.14,3434.12,14461377600
2015-02-12,3435.36,3453.58,3405.63,3442.87,15608169600
2015-02-13,3458.83,3509.5,3452.08,3469.83,20108996800
2015-02-16,3473.29,3504.48,3466.61,3499.48,16564134400
2015-02-17,3511.54,3536.82,3511.09,3522.32,16532832000
2015-02-25,3529.55,3529.55,3463.96,3478.73,16553934400
2015-02-26,3473.71,3569.33,3456.87,3566.3,22932843200
2015-02-27,3565.23,3594.81,3560.46,3572.84,22278643200
2015-03-02,3603.45,3608.69,3566.53,3601.26,24817612800
2015-03-03,3579.32,3579.32,3504.2,3507.9,26186649600
2015-03-04,3514.67,3540.91,3497.17,3530.82,19966398400
2015-03-05,3513.25,3517.08,3467.68,3496.34,21750880000
2015-03-06,3501.18,3516.24,3472.39,3478.52,18151804800
2015-03-09,3449.7,3546.7,3417.49,3537.75,23394041600
2015-03-10,3523.64,3551.2,3511.98,3520.61,19426766400
2015-03-11,3524.58,3568.92,3512.22,3524.65,18894782400
2015-03-12,3557.69,3603.34,3536.53,3592.84,26566462400
2015-03-13,3604.67,3641.39,3594.74,3617.66,24686476800
